"plot_id","BFB_500","Pst_500","Frs_500","Dvl_500","Agr_500","Wtr_500","AqV_500","RDoM_500","BFB_1000","Pst_1000","Frs_1000","Dvl_1000","Agr_1000","Wtr_1000","AqV_1000","SHV_1000","RDoM_1000","BFB_2000","Pst_2000","Frs_2000","Dvl_2000","Agr_2000","Wtr_2000","AqV_2000","RDoM_2000","SHV_2000","BFB_5000","Pst_5000","Frs_5000","Dvl_5000","Agr_5000","Wtr_5000","AqV_5000","RDoM_5000","SHV_5000"
"ADJU7",0.134174311926606,0.0298165137614679,0.184633027522936,0.0825688073394495,0.118119266055046,0.450688073394495,0,0,0.133352451964439,0.0613708058503011,0.394608546028104,0.0728419845139088,0.122454832234012,0.214797820476054,0.000573558933180384,0,0,0.0690890847846341,0.0798394610478033,0.626173582742063,0.0737475811653408,0.0728158818891994,0.076112663943238,0.000286676700351179,0.00193506772737046,0,0.0386172103422576,0.0491543885799461,0.795172848707218,0.0601502035200367,0.0440405893481626,0.0124634523877773,9.17273404804219e-05,0.000309579774121424,0
"ADJU8",0.335624284077892,0.0882016036655212,0.504009163802978,0.0400916380297824,0.0320733104238259,0,0,0,0.146991404011461,0.0547277936962751,0.72378223495702,0.0406876790830945,0.033810888252149,0,0,0,0,0.0724835101806711,0.053771149985661,0.78333811299111,0.0478921709205621,0.042515055921996,0,0,0,0,0.0639334862385321,0.0516169724770642,0.758417431192661,0.0540137614678899,0.0606192660550459,0.0105160550458716,5.73394495412844e-05,0.000825688073394495,0
"ADJUCP",0.00803673938002296,0.0505166475315729,0.762342135476464,0.161882893226177,0.0172215843857635,0,0,0,0.00200630553167097,0.0653482373172829,0.753224419604471,0.17512181140728,0.00429922613929493,0,0,0,0,0.00638130063813006,0.0440238044023804,0.772926077292608,0.163189216318922,0.0133362013336201,0,0.000143400014340001,0,0,0.0280937528667095,0.050362352077791,0.789400055040822,0.106182918998257,0.0218099256948904,0.00410512796991102,4.58673516191175e-05,0,0
"JAYU2",0.0813287514318442,0.139747995418099,0.52348224513173,0.193585337915235,0.0618556701030928,0,0,0,0.0893421430623384,0.112036771042804,0.633151393277794,0.125825912094226,0.0384946854352198,0,0.0011490950876185,0,0,0.0250734293287485,0.0875420875420875,0.770399025718175,0.101225016118633,0.0153306110752919,0,0.00042983021706426,0,0,0.0141169724770642,0.0584862385321101,0.833096330275229,0.0845412844036697,0.00950688073394496,0,0.000240825688073394,1.14678899082569e-05,0
"JAYU3",0.210103329506315,0.145809414466131,0.262916188289323,0.283582089552239,0.095292766934558,0,0.00229621125143513,0,0.0933295161752076,0.102204408817635,0.60578299456055,0.15259089607787,0.0449470369310049,0,0.00114514743773261,0,0,0.0240842950326142,0.086588774998208,0.780230807827396,0.0959787828829475,0.0126872625618235,0,0.000430076697010967,0,0,0.0117073730076826,0.0563811489508084,0.843733516798532,0.0797270955165692,0.00819860107785804,0,0.000240798073615411,1.14665749340672e-05,0
"JUAN1",0.0285062713797035,0.0193842645381984,0.847206385404789,0.031927023945268,0.0729760547320411,0,0,0,0.0106108402638371,0.0269572698594781,0.86578720963579,0.0415830226555779,0.0544880986521365,0,0,0.000286779466590192,0.000286779466590192,0.0141843971631206,0.0366072068199728,0.885880077369439,0.0404756787735511,0.0224228096568522,0,0,0.00035819184755355,7.16383695107099e-05,0.00597360606303817,0.0625910086336379,0.821697604824747,0.0916335118153571,0.00689085843356226,0.00840432484492702,0.000504488803788252,0.000252244401894126,0.00205235217904766
"JUAN7*",0,0.0252583237657864,0.840413318025258,0.134328358208955,0,0,0,0,0.000860091743119266,0.023795871559633,0.911697247706422,0.0564793577981651,0.00716743119266055,0,0,0,0,0.00809803640533181,0.0306005446466963,0.909918302995557,0.041995126845349,0.00938798910706607,0,0,0,0,0.00456343518890099,0.0344780141030786,0.88474459668635,0.0514819698446368,0.00759043742475492,0.0159720231611535,4.5863670240211e-05,0.00025225018632116,0.000871409734564008
"LASM1*",0.0172612197928654,0.0345224395857307,0.78711162255466,0.0759493670886076,0.0851553509781358,0,0,0,0.00687285223367698,0.0257731958762887,0.869415807560137,0.0541237113402062,0.0438144329896907,0,0,0,0,0.00444412586911332,0.0273815497096982,0.86825317181564,0.0761235753709411,0.0237975772346068,0,0,0,0,0.014632524110409,0.0398954164420949,0.818756235450615,0.0939417221884568,0.0324186094515097,0,0,0.000355492356914326,0
"LASM2",0.0206896551724138,0.103448275862069,0.754022988505747,0.0942528735632184,0.0275862068965517,0,0,0,0.00630191922085362,0.0518476081352048,0.854769407046691,0.0635920939558866,0.0234889716413635,0,0,0,0,0.0136200716845878,0.0366308243727599,0.878853046594982,0.0534767025089606,0.0174193548387097,0,0,0,0,0.016342305354542,0.0330745323807012,0.834959918345815,0.0809660882828538,0.0342328291110933,0,0,0.000424326524995126,0
"LASM3",0.0137614678899083,0.0481651376146789,0.817660550458716,0.088302752293578,0.0321100917431193,0,0,0,0.00630553167096589,0.0421324161650903,0.860705073086844,0.0673545428489539,0.0235024362281456,0,0,0,0,0.0116862632635503,0.02982506452538,0.885001433897333,0.0559219959850875,0.0175652423286493,0,0,0,0,0.0142775229357798,0.0327866972477064,0.84355504587156,0.079908256880734,0.0290481651376147,0,0,0.000424311926605505,0
"MARI2*",0.229885057471264,0.0229885057471264,0.528735632183908,0.0344827586206897,0.183908045977011,0,0,0,0.0988822012037833,0.0366867297219834,0.726569217540843,0.0547434795070221,0.0831183720263686,0,0,0,0,0.0865577529378045,0.0290197764402408,0.802952135282316,0.04378045285182,0.0376898824878189,0,0,0,0,0.0555243392007339,0.032555472736655,0.84435525485924,0.0403302562926438,0.0272117424459607,0,0,2.29344647669285e-05,0
"MARI3*",0.267201834862385,0.0619266055045871,0.478211009174312,0.0974770642201835,0.0951834862385321,0,0,0,0.120378331900258,0.0424190312410433,0.692462023502436,0.0690742333046718,0.0756663800515907,0,0,0,0,0.113771596530217,0.028030683203097,0.771883289124669,0.0391425908667288,0.0471718402752886,0,0,0,0,0.0664656032475947,0.036111142965265,0.824512918133551,0.0421201105466555,0.0307672901161657,0,0,2.29349907686662e-05,0
"MARI8*",0.651724137931035,0.0505747126436782,0.124137931034483,0.0896551724137931,0.0839080459770115,0,0,0,0.39105504587156,0.0745412844036697,0.353497706422018,0.10177752293578,0.0785550458715596,0,0,0,0.000573394495412844,0.216590192142243,0.0681818181818182,0.57513622024663,0.0743475767135073,0.0656008029825065,0,0,0.000143389733295096,0,0.0893057817122675,0.0567277480907277,0.764523083274087,0.0459486732564273,0.0429328257230007,0.000458684035502144,2.29342017751072e-05,8.02697062128753e-05,0
"OROC1",0.0160366552119129,0.169530355097365,0.728522336769759,0.0641466208476518,0.0217640320733104,0,0,0,0.0266552020636285,0.0988822012037833,0.806821438807681,0.0561765548867871,0.0114646030381198,0,0,0,0,0.0321123933768189,0.14550928248871,0.747975055551573,0.0615726471220701,0.0128306214608272,0,0,0,0,0.0439733064257212,0.157432463422465,0.707792505618493,0.0738889143695822,0.0168440122918864,0,3.43989359262487e-05,0,3.43989359262487e-05
